 NAME;formula;ALTERNATIVE_NAME;ANOTHER_NAME;"OSTATOK
";"KOMNATA
";SHKAFF;POLKA;KOMENT;CAS;Smiles
4-Bromo-2-nitrophenol;;;;5 g;34.522;fridge;5;;;Oc1ccc(Br)cc1[N+]([O-])=O
2-amino-5-hydroxybenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=C(O)C=C1)C(O)=O
2-amino-3-methylbenzoic acid;;;;25 g;34.522;fridge;5;;;CC1=CC=CC(C(O)=O)=C1N
2-amino-5-methylbenzoic acid;;;;25 g;34.522;fridge;5;;;CC1=CC(C(O)=O)=C(N)C=C1
2-amino-4-fluorobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=CC(F)=C1)C(O)=O
2-amino-5-fluorobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=C(F)C=C1)C(O)=O
2-amino-6-fluorobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C(O)=O)C(F)=CC=C1
2-amino-5-bromobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=C(Br)C=C1)C(O)=O
2-amino-4-chlorobenzoic acid;;;;25 g;34.522;fridge;5;;;NC1=C(C=CC(Cl)=C1)C(O)=O
2-Amino-4-bromobenzoic acid;;cas 20776-50-5;;25 g;34.522;fridge;5;;;NC1=C(C=CC(Br)=C1)C(O)=O
1-anthrol;;ALBB-005207;;0.5 g;34.522;fridge;6;;;OC1=C2C=C3C=CC=CC3=CC2=CC=C1
2,2'-thiobis(4-chlorophenol);;ALBB-012859;;0.5 g;34.522;fridge;6;;;OC1=C(SC2=C(O)C=CC(Cl)=C2)C=C(Cl)C=C1
4-(1-adamantyl)phenol;;ALBB-013826;;0.5 g;34.522;fridge;6;;;OC1=CC=C(C=C1)C12CC3CC(CC(C3)C1)C2
2-methyl-1,3-benzothiazol-5-ol;;ALBB-014676;;0.5 g;34.522;fridge;6;;;CC1=NC2=CC(O)=CC=C2S1
4-(1-adamantyl)-2-nitrophenol;;ALBB-014989;;0.5 g;34.522;fridge;6;;;OC1=C(C=C(C=C1)C12CC3CC(CC(C3)C1)C2)[N+]([O-])=O
ethyl 4-hydroxy-3-nitrobenzoate;;ALBB-024675;;0.5 g;34.522;fridge;6;;;CCOC(=O)C1=CC(=C(O)C=C1)[N+]([O-])=O
2-nitro-4-[(trifluoromethyl)thio]phenol;;ALBB-025507;;0.5 g;34.522;fridge;6;;;OC1=C(C=C(SC(F)(F)F)C=C1)[N+]([O-])=O
methyl 2-hydroxy-5-nitrobenzoate;;ALBB-025746;;0.5 g;34.522;fridge;6;;;COC(=O)C1=C(O)C=CC(=C1)[N+]([O-])=O
4'-hydroxybiphenyl-4-carbonitrile;;ALBB-025788;;0.5 g;34.522;fridge;6;;;OC1=CC=C(C=C1)C1=CC=C(C=C1)C#N
4-(1H-pyrrol-1-yl)phenol;;ALBB-031372;;0.5 g;34.522;fridge;6;;;OC1=CC=C(C=C1)N1C=CC=C1
3-ethoxy-4-hydroxybenzonitrile;;ALBB-032702;;0.5 g;34.522;fridge;6;;;CCOC1=C(O)C=CC(=C1)C#N
4-hydroxybenzonitrile;;;;100 g;34.522;fridge;6;;;OC1=CC=C(C=C1)C#N
3,5-bis(trifluoromethyl)phenol;;;;25 g;34.522;fridge;6;;;OC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
3-(1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl)phenol;;2,2-bis(4-hydroxyphenyl)hexafluoropropane;;25 g;34.522;fridge;6;;;OC1=CC=C(C=C1)C(C1=CC=CC(O)=C1)(C(F)(F)F)C(F)(F)F
2-(Tributylstannyl)thiophene;;2-thiophene-SnBu3;;3 ml;34.522;fridge;6;;;CCCC[Sn](CCCC)(CCCC)C1=CC=CS1
Ethyl carbazate;N2H3COOC2H5;N2H3COOC2H5;;100 g;34.522;fridge;6;made in China;;CCOC(=O)NN
4-iodophenol;;;;60 g;34.522;fridge;6;+/-;;OC1=CC=C(I)C=C1
4-bromophenol;;;;70 g;34.522;fridge;6;;;OC1=CC=C(Br)C=C1
3,4,5-Trimethylphenol;;cas 527-54-8;;25 g;34.522;fridge;6;;;CC1=CC(O)=CC(C)=C1C
Glyoxylic acid monohydrate;;2,2?dihydroxyacetic acid;(HO)2CCOOH;1 kg;34.522;fridge;6;;;O.OC(=O)C=O
Phenoxazine;;;;5 g;34.522;fridge;6;;;N1C2=CC=CC=C2OC2=CC=CC=C12
pyrrolidine-1-carboxamide;;N-pyrrolidine urea;;1 g;34.522;fridge;6;;;NC(=O)N1CCCC1
1-Piperidinecarboxamide;;N-pyperidine urea;;1 g;34.522;fridge;6;;;NC(=O)N1CCCCC1
morpholine-4-carboxamide;;N-morpholine urea;;1 g;34.522;fridge;6;;;NC(=O)N1CCOCC1
PdCl2*dppf*CH2Cl2;;;;2 g;34.522;fridge;7;;;[Fe].ClCCl.Cl[Pd]Cl.C1=CC(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.c1ccc(c1)P(C1=CC=CC=C1)C1=CC=CC=C1
[Rh(cod)Cl]2;;;;1 g + 5 g;34.522;fridge;7;;;[Cl-].[Cl-].[Rh+].[Rh+].C1C\C=C/CC\C=C/1.C1C\C=C/CC\C=C/1
DavePhos;;;;1 g;34.522;fridge;7;;;CC(C)C1=CC(C(C)C)=C(C(=C1)C(C)C)C1=CC=CC=C1P(C1CCCCC1)C1CCCCC1
2-Dicyclohexylphosphino-2?,6?-diisopropoxybiphenyl;;RuPhos;;1 g;34.522;fridge;7;;;CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4
(2-Biphenylyl)di-tert-butylphosphine;;JohnPhos;2-(Di-tert-butylphosphino)biphenyl;1 g;34.522;fridge;7;;;CC(C)(C)P(c1ccccc1-c2ccccc2)C(C)(C)C
Copper(II) trifluoromethanesulfonate;Cu(OTf)2;Cu(OTf)2;Copper(II) trifluoromethanesulfonate;1 g;34.522;fridge;7;;;FC(F)(F)S(=O)(=O)O[Cu]OS(=O)(=O)C(F)(F)F
Rhodium(II) acetate;Rh(OAc)2;Rh(OAc)2;;2 g;34.522;fridge;7;;;CC(=O)O[Rh]OC(C)=O.CC(=O)O[Rh]OC(C)=O
methyl acetimidate hydrochloride;;;SH031;5 g;34.522;fridge;7;;;Cl.COC(C)=N
Pd(PPh3)4;;;;10 g;34.522;fridge;7;;;C1=CC=C(C=C1)[P](C1=CC=CC=C1)(C1=CC=CC=C1)[Pd]([P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)([P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
IrCl3*H2O;;Iridium(III) chloride hydrate;;0.3 g;34.522;fridge;7;;;[Cl-].[Cl-].[Cl-].[Ir+3]
P(o-Tol)3;;Tri(o-tolyl)phosphine;;0.5 g;34.522;fridge;7;;;CC1=C(C=CC=C1)P(C1=C(C)C=CC=C1)C1=C(C)C=CC=C1
Pd(dba)2;;Bis(dibenzylideneacetone)palladium(0);;2 g;34.522;fridge;7;;;[Pd].O=C(C=CC1=CC=CC=C1)C=CC1=CC=CC=C1.O=C(C=CC1=CC=CC=C1)C=CC1=CC=CC=C1
NiCl2*dppp;;Dichloro(1,3-bis(diphenylphosphino)propane)nickel;;1 g;34.522;fridge;7;;;Cl[Ni](Cl)C(CCP(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1
NiBr2*2PPh3;;Dibromobis(triphenylphosphine)nickel(II);;1 g;34.522;fridge;7;;;Br[Ni]Br.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1
1,1?-Carbonyldiimidazole;;CDI;;500 g;34.522;fridge;7;;;O=C(N1C=CN=C1)N1C=CN=C1
1,3-Bis(diphenylphosphino)ethane;dppe;dppe;Ethylenebis(diphenylphosphine);1 g;34.522;fridge;7;;;C(CP(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1
1,3-Bis(diphenylphosphino)propane;dppp;dppp;;20 g;34.522;fridge;7;;;C(CP(C1=CC=CC=C1)C1=CC=CC=C1)CP(C1=CC=CC=C1)C1=CC=CC=C1
Tricyclohexylphosphine;Cy3P;Cy3P;;5 g;34.522;fridge;7;;;C1CCC(CC1)P(C1CCCCC1)C1CCCCC1
Trifurylphosphine;Fur3P;Tri(2-furyl)phosphine;Fur3P;5 g;34.522;fridge;7;;;O1C=CC=C1P(C1=CC=CO1)C1=CC=CO1
Palladium acetate;Pd(OAc)2;Pd(OAc)2;;2 g;34.522;fridge;7;;;[Pd++].CC([O-])=O.CC([O-])=O
Palladium chloride;PdCl2;PdCl2;;2 g;34.522;fridge;7;;;Cl[Pd]Cl
Bis(triphenylphosphine)palladium chloride;;PdCl2*2PPh3;;3 g;34.522;fridge;7;;;[Cl-].[Cl-].[Pd++].C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1
2,2?-Bis(diphenylphosphino)-1,1?-binaphthalene;;rac-BINAP;;5 g;34.522;fridge;7;;;C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1C1=C2C=CC=CC2=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1
Silver(I) carbonate;;Ag2CO3;;3 g;34.522;fridge;7;;;[Ag].OC(O)=O
(Oxydi-2,1-phenylene)bis(diphenylphosphine);;DPEPhos;;1 g;34.522;fridge;7;;;O(C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1
Tri-tert-butylphosphonium tetrafluoroborate;;P(tBu)3*HBF4;;1 g;34.522;fridge;7;;;F[B-](F)(F)F.CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C
Methyl trifluoromethanesulfonate;MeOTf;Methyl triflate;;1 g;34.522;fridge;7;;;COS(=O)(=O)C(F)(F)F
Dess-Martin periodinane;;;;10 g;34.522;fridge;8;;;CC(=O)O[I]1(OC(C)=O)(OC(C)=O)OC(=O)C2=CC=CC=C12
N-Diethylaniline;;PhNEt2;;50 ml;34.522;fridge;8;;;CCN(CC)C1=CC=CC=C1
4-Bromo-2-hydroxybenzaldehyde;;4-bromosalycilic aldehyde;;20 g;34.522;fridge;8;;;OC1=C(C=O)C=CC(Br)=C1
(Diacetoxyiodo)benzene;C6H5I(OAc)2;BAIB;phenyliodine(III) diacetate (PIDA);10 g;34.522;fridge;8;made in China;;CC(=O)O[I](OC(C)=O)C1=CC=CC=C1
2,7-Dihydroxynaphtalene;;;;50 g;34.522;fridge;8;;;OC1=CC2=C(C=O)C(O)=CC=C2C=C1
Nickel(II) perchlorate hexahydrate;Ni(ClO4)2 x 6H2O;;Ni(ClO4)2 x 6H2O;100 g;34.522;fridge;9;;;[Ni++].[O-][Cl](=O)(=O)=O
Gadolinium(III) trifluoromethanesulfonate;Gd(OTf)3;Gadolinium(III) triflate;Gd(OTf)3;5 g;34.522;fridge;9;;;[Gd+3].[O-]S(=O)(=O)C(F)(F)F
Ytterbium(III) trifluoromethanesulfonate;Yb(OTf)3;Ytterbium(III) triflate;Yb(OTf)3;5 g;34.522;fridge;9;;;[Yb+3].[O-]S(=O)(=O)C(F)(F)F
Zinc trifluoromethanesulfonate;Zn(OTf)2;Zinc triflate;Zn(OTf)2;5 g;34.522;fridge;9;;;[Zn++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F
Scandium(III) trifluoromethanesulfonate;Sc(OTf)3;Scandium(III) triflate;Scandium tris(trifluoromethanesulfonate);5 g;34.522;fridge;9;;;[Sc+3].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F
Lanthanum(III) trifluoromethanesulfonate;La(OTf)3;Lanthanum(III) triflate;La(OTf)3;5 g;34.522;fridge;9;;;[La+3].[O-]S(=O)(=O)C(F)(F)F
Calcium(II) bis(trifluoromethanesulfonimide);Ca(NTf2)2;Calcium triflimide;Ca(NTf2)2;1 g;34.522;fridge;9;;;[Ca++].FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
Tin(II) trifluoromethanesulfonate;Sn(OTf)2;Stannous trifluoromethanesulfonate;Tin(II) triflate;1 g;34.522;fridge;9;;;[Sn++].[O-]S(=O)(=O)C(F)(F)F
Potassium hexafluorophosphate;KPF6;Monopotassium hexafluorophosphate;KPF6;50 g;34.522;fridge;9;;;[K+].F[P-](F)(F)(F)(F)F
Copper(II) trifluoromethanesulfonate;Cu(OTf)2;Cu(OTf)2;Copper(II) trifluoromethanesulfonate;2 g;34.522;fridge;9;;;FC(F)(F)S(=O)(=O)O[Cu]OS(=O)(=O)C(F)(F)F
DMSO;;DIMEXID;;100 ml;34.522;fridge;9;APTEKA;;CS(C)=O
1,1-diethoxy-N,N-dimethylmethanamine;;;;30 ml;34.522;fridge;9;handmade;;CCOC(OCC)N(C)C
;;;;;;;;;;ץףי
Tetrabutylammonium hexafluorophosphate;;;;25 g;34.522;fridge;9;;;F[P-](F)(F)(F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC
1,1?-Ferrocenediyl-bis(diphenylphosphine);dppf;1,1?-Ferrocenediyl-bis(diphenylphosphine);dppf;2 x 50 g ;34.522;fridge;10;;;C1=CC=C(C=C1)P(C1=CC=CC=C1)C12C3C4C5C1[Fe]23451234C5C1C2C3(C45)P(C1=CC=CC=C1)C1=CC=CC=C1
2-Fluoro-4-(trifluoromethyl)benzaldehyde;;;;2 x 5 g;34.522;fridge;10;abcr + ?;;FC1=C(C=O)C=CC(=C1)C(F)(F)F
5-Chloro-2-fluorobenzaldehyde;;;;2 x 5 g;34.522;fridge;10;abcr + ?;;FC1=C(C=O)C=C(Cl)C=C1
3-Chloro-2-fluorobenzaldehyde;;;;5 g;34.522;fridge;10;;;FC1=C(C=O)C=CC=C1Cl
2-Fluoro-3-(trifluoromethyl)benzaldehyde;;;;5 g;34.522;fridge;10;;;FC1=C(C=O)C=CC=C1C(F)(F)F
2-Fluoro-6-(trifluoromethyl)benzaldehyde;;;;5 g;34.522;fridge;10;;;FC1=C(C=O)C(=CC=C1)C(F)(F)F
2-Fluoro-5-nitrobenzaldehyde;;;;2 x 5 g;34.522;fridge;10;;;[O-][N+](=O)C1=CC(C=O)=C(F)C=C1
2-Chloro-6-fluorobenzaldehyde ;;;;10 g;34.522;fridge;10;Abcr;;FC1=CC=CC(Cl)=C1C=O
2-Fluoro-5-methylbenzaldehyde;;;;3 g;34.522;fridge;10;Abcr;;CC1=CC(C=O)=C(F)C=C1
4-Chloro-2-fluorobenzaldehyde;;;;10 g;34.522;fridge;10;Abcr;;FC1=C(C=O)C=CC(Cl)=C1
2-Bromo-6-fluorobenzaldehyde;;;;10 g;34.522;fridge;10;Abcr;;FC1=CC=CC(Br)=C1C=O
2-Fluoro-5-(trifluoromethyl)benzaldehyde;;;;25 g;34.522;fridge;10;;;FC1=C(C=O)C=C(C=C1)C(F)(F)F
5-Bromo-2-fluorobenzaldehyde;;;;25 g;34.522;fridge;10;;;FC1=C(C=O)C=C(Br)C=C1
2-Bromo-4-methylbenzaldehyde;;2-bromo-p-tolualdehyde;;5 g;34.522;fridge;10;;;CC1=CC(Br)=C(C=O)C=C1
4-Bromo-2-fluorobenzaldehyde;;;;25 g;34.522;fridge;10;;;FC1=C(C=O)C=CC(Br)=C1
2-Fluoro-4-methoxybenzaldehyde;;2-Fluoro-p-anisaldehyde;;100 g (ןמ נאחםûל באםךאל);34.522;fridge;10;abcr + ?;;COC1=CC(F)=C(C=O)C=C1
1ּ BBr3 in CH2Cl2;BBr3;BBr3;;50 ml;34.522;hood 1;2;old;;BrB(Br)Br
Mol. sieves 3ְ dried;;;;300 g;34.522;hood 1;2;worse;;[O--].[O--].[O--].[Al+3].[Al+3]
Mol. sieves 4ְ dried;;;;400 g;34.522;hood 1;2;worse;;[O--].[O--].[O--].[Al+3].[Al+3]
Hydrogen chloride solution in dioxane ~5.4 M;HCl in dioxane;HCl in dioxane;;20 ml;34.522;hood 1;1;;;Cl[H].C1COCCO1
D-(+)-Galactose;;D-(+)-דאכאךעמחא;;900 g;34.522;hood 1;2;;;OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C=O
diethyl malonate;CH2(COOEt)2;CH2(COOEt)2;;300 ml;34.522;hood 1;2;good;;CCOC(=O)CC(=O)OCC
dimethyl malonate;CH2(COOMe)2;CH2(COOMe)2;;50 ml;34.522;hood 1;2;;;COC(=O)CC(=O)OC
Triethyl orthoformate;CH(OEt)3;CH(OEt)3;;100 ml;34.522;hood 1;2;;;CCOC(OCC)OCC
MnO2;;;;50 g;34.522;hood 1;2;;;O=[Mn]=O
Pd/C 5%;;;;1 g;34.522;hood 1;2;;;[Pd]
Tert-butyldiphenylsilyl chloride;TBDPSCl;TBDPSCl;;50 ml;34.522;hood 2;2;China;;CC(C)(C)[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1
1-Chloronaphthalene;;;;30 g;34.522;hood 2;2;;;ClC1=C2C=CC=CC2=CC=C1
4-bromoaniline;;;;5 g;34.522;hood 2;2;old;;NC1=CC=C(Br)C=C1
resorcinol;resorcine;resorcine;;10;34.522;hood 2;2;old;;OC1=CC(O)=CC=C1
Triisopropylsilyl chloride;iPr3SiCl;TIPSCl;iPr3SiCl;100 ml;34.522;hood 2;1;;;CC(C)[Si](Cl)(C(C)C)C(C)C
Red phosphorous;; ;;50 g;34.522;hood 2;2;unknown purity;;[P]
Methanesulfonic acid anhydride;;Ms2O;;3 g;34.522;hood 2;2;;;CS(=O)(=O)OS(C)(=O)=O
Phenyl acetylene;C6H5CCH;C6H5CCH;;15 ml;34.522;hood 2;2;so so…;;C#CC1=CC=CC=C1
4-Bromotoluene;p-TolBr;;;100 ml;34.522;hood 2;2;;;
Diphenyl amine;(C6H5)2NH;(C6H5)2NH;;1 g;34.522;hood 2;2;;;N(C1=CC=CC=C1)C1=CC=CC=C1
Methyl glycine hydrochloride;NH2CH2COOCH3*HCl;NH2CH2COOCH3*HCl;;30 g;34.522;hood 2;2;;;Cl.COC(=O)CN
N-Propionylglycine;C2H5CONH2CH2COOH;Propionyl glycine;C2H5CONH2CH2COOH;5 g;34.522;hood 2;2;;;CCC(=O)NCC(O)=O
Butylated hydroxytoluene;;BHT;IONOL;3 g;34.522;hood 2;2;;;CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
1,4-Dithioerythritol;;DTE;;1 g;34.522;hood 2;2;for sulfides;;O[C@@H](CS)[C@H](O)CS
4-Fluoro-2-hydroxybenzaldehyde;;;;10 g;34.522;hood 2;2;from Vadik;;OC1=C(C=O)C=CC(F)=C1
Selenium dioxide;SeO2;SeO2;;10 g;34.522;hood 2;2;;;O=[Se]=O
Phosphomolybdic acid;;phosphorous-molibdenium zelenka;;200 g;34.522;hood 2;2;;;O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.O=[Mo](=O)=O.OP(O)(O)=O
Copper iodide;CuI;CuI;;50 g;34.522;hood 2;1;;;I[Cu]I
RbCl;;Rubidium chloride;;10 g;34.522;hood 2;1;;;
4?methylbenzamide;;;;5 g;34.522;hood 2;1;;;CC1=CC=C(C=C1)C(N)=O
Benzaldehyde;C6H5COH;C6H5COH;;30 ml;34.522;hood 2;1;;;O=CC1=CC=CC=C1
4-Methoxybenzaldehyde;;;;20 ml;34.522;hood 2;1;;;COC1=CC=C(C=O)C=C1
 3,5?di?tert?butyl?2?hydroxybenzaldehyde;;;;5 g;34.522;hood 2;1;old;;CC(C)(C)C1=CC(C=O)=C(O)C(=C1)C(C)(C)C
4-Hydroxybenzaldehyde;;;;10 g;34.522;hood 2;1;;;OC1=CC=C(C=O)C=C1
2-Fluorobenzaldehyde;;;;20 ml;34.522;hood 2;1;;;FC1=C(C=O)C=CC=C1
2-Bromobenzaldehyde;;;;30 g;34.522;hood 2;1;;;BrC1=C(C=O)C=CC=C1
4--Bromobenzaldehyde;;;;100 g;34.522;hood 2;1;;;BrC1=CC=C(C=O)C=C1
2-Methylbenzaldehyde;;;;100 g;34.522;hood 2;1;;;CC1=C(C=O)C=CC=C1
Benzoic acid;PhCOOH;PhCOOH;;100 g;34.522;hood 2;1;;;OC(=O)C1=CC=CC=C1
Potassium permanganate;KMnO4;KMnO4;Potassium permanganate;200 g;34.522;hood 2;1;;;[K+].[O-][Mn](=O)(=O)=O
Copper dust;Cu (dust);;;3 g;34.522;hood 2;1;;;[Cu]
oxalic acid;(COOH)2;;;100 g;34.522;hood 2;1;;;OC(=O)C(O)=O
tyramine hydrochloride;;;;0.5 g;34.522;hood 2;1;;;Cl.NCCc1ccc(O)cc1
2-methoxybenzaldehyde;;;;1 g;34.522;hood 2;1;;;COc1ccccc1C=O
4-hydroxy-2,6-dimethoxybenzaldehyde;;;BNS977;0.1 g;34.522;hood 2;1;;;COc1cc(O)cc(OC)c1C=O
5-chloro-4-hydroxy-2-methoxybenzaldehyde;;;M3043;1 g;34.522;hood 2;1;;;COc1cc(O)c(Cl)cc1C=O
2-(benzyloxy)benzaldehyde;;;;2 g;34.522;hood 2;1;;;O=Cc1ccccc1OCc2ccccc2
3,5-dibromo-4-hydroxybenzaldehyde;;;SA706;1 g;34.522;hood 2;1;;;Oc1c(Br)cc(C=O)cc1Br
5-bromo-4-hydroxy-2-methoxybenzaldehyde;;;M3044;0.5 g;34.522;hood 2;1;;;COc1cc(O)c(Br)cc1C=O
thiazolidine-2,4-dione;;;;100 g;34.522;hood 2;1;;;O=C1CSC(=O)N1
2-Hydroxybenzaldehyde;;salycilic aldehyde;;3 ml;34.522;hood 2;1;;;OC1=C(C=O)C=CC=C1
4-Hydroxy-2-methoxybenzaldehyde;;;;3 g;34.522;hood 2;1;;;COC1=C(C=O)C=CC(O)=C1
Copper(I) oxide;Cu2O;Cu2O;;5 g;34.522;hood 2;1;;;[Cu]O[Cu]
Pyridinium chlorochromate;CrO3*Py;PCC 0.5 M;Pyridinium chlorochromate solution;10 g;34.522;hood 3;1;;;O[Cr](Cl)(=O)=O.c1ccncc1
toluenesulfonic acid;TsOH*H2O;toluenesulfonic acid hydrate;;100 g;34.522;hood 3;1;;;[H]O[H].Cc1ccc(cc1)S(O)(=O)=O
Zn dust;;;;3 g;34.522;hood 3;1;;;[Zn]
Butylamine;BuNH2;;Butylamine;100 ml;34.522;hood 3;1;;;CCCCN
Mg turnings;;;;30 g;34.522;hood 3;1;;;[Mg]
(S)-Pyrrolidine-2-carboxylic acid;;L(-)proline;L-proline;3 g;34.522;hood 3;1;;;OC(=O)[C@@H]1CCCN1
dimethyl aminopyridine;;DMAP;;5 g;34.522;hood 3;1;;;Cc1ccnc(N)c1C
quinoline;;;;100 ml;34.522;hood 3;1;;;c1ccc2ncccc2c1
pyrrolidine;;;;100 ml;34.522;hood 3;1;;;C1CCNC1
Sodium triacetoxyborohydride;NaBH(OAc)3;STAB;;2 g;34.522;hood 3;1;;;[Na+].CC(=O)O[BH-](OC(C)=O)OC(C)=O
cetyltributylammonium bromide;;CTBAB;;5 g;34.522;hood 3;1;;;[Br-].CCCCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC
Cyclohexyl amine;CyNH2;;;100 ml;34.522;hood 3;1;;;NC1CCCCC1
N1,N1,N2,N2-tetramethylethane-1,2-diamine;TMEDA;TMEDA;tetramethylethylene diamine;10 ml;34.522;hood 3;1;;;CN(C)CCN(C)C
Caesium carbonate;Cs2CO3;Cs2CO3;;500 g;34.522;hood 3;1;;;[Cs+].[Cs+].[O-]C([O-])=O
1,8-Diazabicyclo[5.4.0]undec-7-ene;;DBU;;60 ml;34.522;hood 3;1;;;C1CN=C2CCCCCN2C1
Methylamine aq. 40%;CH3NH2*aq.;CH3NH2*aq.;;30 ml;34.522;hood 3;1;;;CN
Methylamine in Isopropyl alcohol 35%;CH3NH2*i-PrOH;CH3NH2*i-PrOH;;250 ml;34.522;hood 3;1;;;CN
Morpholine;;;;40 ml;34.522;hood 3;1;;;C1COCCN1
Tetramethylguanidine;;1,1,3,3-Tetramethylguanidine;;60 ml;34.522;hood 3;1;;;CN(C)C(=N)N(C)C
3-Hydroxypropionitrile;HOCH2CH2CN;HOCH2CH2CN;;50 ml;34.522;hood 3;1;dist.;;OCCC#N
1,3-Dimethylbarbituric Acid;;1,3-Dimethyl-2,4,6(1H,3H,5H)-pyrimidinetrione;;20 g;34.522;hood 3;1;;;CN1C(=O)CC(=O)N(C)C1=O
2,2-dimethyl-1,3-dioxane-4,6-dione;;Meldrum's acid;;3 g;34.522;hood 3;1;with impurities;;CC1(C)OC(=O)CC(=O)O1
Piperidine;;;;30 ml;34.522;hood 3;1;;;C1CCNCC1
Tetrabutylammonium bromide;Bu4NBr;Bu4NBr;;20 g;34.522;hood 3;1;;;[Br-].CCCC[N+](CCCC)(CCCC)CCCC
Lithium fluoride;LiF;LiF;;10 g;34.522;hood 3;1;anhydrous;;[Li+].[F-]
Thioanisole;PhSMe;PhSMe;;50 ml;34.522;hood 3;1;;;CSC1=CC=CC=C1
potassium fluoride dihydrate;KF*2H2O;;;3 g;34.522;hood 3;1;;;O.O.[F-].[K+]
Ammonium acetate;CH3COONH4;;;3 g;34.522;hood 3;1;;;CC1(C)OC(=O)CC(=O)O1
ethylamine hydrochloride;EtNH2*HCl;;;3 g;34.522;hood 3;1;;;Cl.CCN
3-Aminopropionic acid;;3-Aminopropionic acid;b-alanine;3 g;34.522;hood 3;1;;;NCCC(O)=O
TolSMe;;4-(Methylthio)toluene;"
623-13-2";20 ml;34.522;hood 3;1;;;CSC1=CC=C(C)C=C1
Benzyl amine;BnNH2;;;5 ml;34.522;hood 3;1;ןמקטשוםםûי פכורמל;;"NCc1ccccc1
"
methyl 2-cyanoacetate;;Methyl cyanoacetate;;4 ml;34.522;hood 3;1;;;O=C(OC)CC#N
Ethyl amine aq. 70%;EtNH2*aq;EtNH2*aq;;50 ml;34.522;hood 3;1;;;CCN
Methylbenzylamine;MeNHBn;MeNHBn;;50 g;34.522;hood 3;1;;;CNCC1=CC=CC=C1
Ethylbenzylamine;EtNHBn;EtNHBn;;50 g;34.522;hood 3;1;;;CCNCC1=CC=CC=C1
Dimethylamine hydrochloride;Me2NH*HCl;Me2NH*HCl;;15 g;34.522;hood 3;1;;;Cl.CNC
triphenyl phosphine;Ph3P;Ph3P;;100 g;34.522;hood 3;1;;;C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1
Sodium acetate;NaOAc;NaOAc;CH3COONa;50 g;34.522;hood 3;1;Soviet;;[Na+].CC([O-])=O
Trimethylsulfoxonium iodide;;Me3SOI;;80 g;34.522;hood 3;1;;;[I-].C[S+](C)(C)=O
Diethylamine;(CH3CH2)2NH;(CH3CH2)2NH;;30 ml;34.522;hood 3;2;;;CCNCC
Diisopropylethylamine;iPr2NEt;DIPEA;Hunigs base;60 ml;34.522;hood 3;2;old;;CCN(C(C)C)C(C)C
Glycine;NH2CH2COOH;NH2CH2COOH;;400 g;34.522;hood 3;2;;;NCC(O)=O
